country,language_hint,script_type,driving_side,road_lines,bollards,utility_poles,license_plate,sign_shapes,guardrails,landscape,google_car_meta
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,urban,no_roof_rack
USA,none,none,right,yellow_center_white_edge,none,none,none,none,none,rural,no_roof_rack
USA,English,Latin,right,white_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,none,urban,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,none,none,diamond_warning,none,forest,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,none,none,suburban,no_roof_rack
USA,none,none,right,yellow_center_white_edge,none,none,none,none,none,desert,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,metal_w_beam,farmland,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,none,diamond_warning,none,suburban,roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,none,none,none,none,urban,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,hilly,no_roof_rack
USA,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,none,urban,roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,none,diamond_warning,metal_w_beam,forest,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,none,none,none,none,flat_farmland,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,urban,no_roof_rack
USA,none,none,right,yellow_center_white_edge,none,none,none,none,none,coastal,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,metal_w_beam,forest,no_roof_rack
USA,English,Latin,right,white_center_white_edge,none,wooden_tall,none,none,none,urban,no_roof_rack
USA,none,none,right,yellow_center_white_edge,none,none,none,none,none,suburban,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,hilly,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,none,none,none,none,farmland,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,none,urban,roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,none,diamond_warning,metal_w_beam,forest,no_roof_rack
USA,none,none,right,yellow_center_white_edge,none,none,none,none,none,suburban,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,urban,no_roof_rack
USA,English,Latin,right,white_center_white_edge,none,none,none,none,none,urban,no_roof_rack
